ttp,Nitro,Scarab,FIN7,Waterbug,Hidden Cobra,TA505,Quedagh,Tick,TwoForOne,Patchwork,APT28,APT1,MageCart,SEA,Darkhotel,Energetic Bear,MuddyWater,Rocke,APT29,Molerats,Silence
T1550,0.035585399717092514,0.03575526550412178,0.04923209920525551,0.053890641778707504,0.03693689778447151,0.05615406855940819,0.038878653198480606,0.040776629000902176,0.04052538052201271,0.05212268978357315,0.03917570039629936,0.04212287440896034,0.06207656487822533,0.07113664597272873,0.04472210258245468,0.05498083308339119,0.050603125244379044,0.04000883921980858,0.056452054530382156,0.054785843938589096,0.04407762736082077
T1211,0.05135524645447731,0.05810198560357094,0.06303443014621735,0.06155902147293091,0.04085296392440796,0.0364033579826355,0.03670355677604675,0.05215686932206154,0.04204944893717766,0.0650489404797554,0.02607322670519352,0.04729967564344406,0.047768156975507736,0.042631521821022034,0.032014913856983185,0.04766271635890007,0.03655603528022766,0.05856689438223839,0.0567881315946579,0.04417843371629715,0.053194474428892136
T1556,0.02560821920633316,0.03051231987774372,0.0371660552918911,0.054595526307821274,0.0282992422580719,0.06796678900718689,0.04027409851551056,0.04176827892661095,0.042189233005046844,0.05922224745154381,0.023512570187449455,0.04677443578839302,0.08835272490978241,0.07825295627117157,0.037073489278554916,0.06719812750816345,0.04209446534514427,0.039114050567150116,0.05857488140463829,0.056160613894462585,0.035289693623781204
T1553,0.04200206696987152,0.0442751981317997,0.03493072837591171,0.07751461118459702,0.031955815851688385,0.0424313098192215,0.030471740290522575,0.0412360355257988,0.046769388020038605,0.0766572430729866,0.044892773032188416,0.0430464968085289,0.05978147312998772,0.0628974512219429,0.038422245532274246,0.04314034432172775,0.04229085519909859,0.055302321910858154,0.044109564274549484,0.04885562136769295,0.04901675879955292
T1548,0.04483632370829582,0.03799409046769142,0.04081876948475838,0.07372041046619415,0.03748255968093872,0.04490921273827553,0.02957499586045742,0.0424148291349411,0.05142103135585785,0.06799086928367615,0.03767558932304382,0.04592957720160484,0.05584902688860893,0.05252452567219734,0.04395664483308792,0.04762501269578934,0.04694640636444092,0.04617893323302269,0.05074802413582802,0.0551152341067791,0.04628791660070419
T1041,0.030100142583251,0.040805988013744354,0.044379718601703644,0.052178218960762024,0.037201542407274246,0.05669055134057999,0.041853033006191254,0.04406218230724335,0.03828240558505058,0.05712310969829559,0.03422486409544945,0.0444846972823143,0.07336892187595367,0.08110576868057251,0.03591880574822426,0.05284563824534416,0.0475345216691494,0.039537496864795685,0.046522609889507294,0.053502000868320465,0.0482778437435627
T1048,0.03344132751226425,0.04412886127829552,0.047415316104888916,0.042585182934999466,0.02031082846224308,0.04633214697241783,0.04501330479979515,0.034857336431741714,0.037095051258802414,0.08082651346921921,0.03195559233427048,0.04212789610028267,0.06910410523414612,0.07760806381702423,0.04052978754043579,0.06502025574445724,0.042157288640737534,0.053343579173088074,0.05693136528134346,0.04855955392122269,0.040656641125679016
T1029,0.03247439116239548,0.04112061485648155,0.0560372956097126,0.047265179455280304,0.0322546511888504,0.05550779402256012,0.04715127870440483,0.03738794103264809,0.036027152091264725,0.05648816376924515,0.036391109228134155,0.03915593400597572,0.06843525916337967,0.07323136180639267,0.03938513249158859,0.057308707386255264,0.049885448068380356,0.04108100011944771,0.0550401471555233,0.05329681560397148,0.04507458955049515
T1567,0.033464446663856506,0.04206454008817673,0.05079185962677002,0.04855670779943466,0.021965153515338898,0.0511910654604435,0.0382658988237381,0.03832875192165375,0.03506843000650406,0.075908362865448,0.03487046808004379,0.045179471373558044,0.0837547704577446,0.06933221220970154,0.0371459424495697,0.05602861940860748,0.03985578939318657,0.05190460383892059,0.054700177162885666,0.04526476562023163,0.04635806381702423
T1020,0.033664993941783905,0.04250255972146988,0.04760037735104561,0.05114007741212845,0.02118004858493805,0.042656149715185165,0.03927081823348999,0.034890420734882355,0.03868001326918602,0.08111944794654846,0.03411616012454033,0.04061032459139824,0.06121283024549484,0.0841764286160469,0.040208812803030014,0.059874650090932846,0.044784218072891235,0.052505362778902054,0.05418747290968895,0.051968831568956375,0.04365011677145958
T1203,0.030310969799757004,0.0397011823952198,0.03784480318427086,0.060355156660079956,0.050142426043748856,0.05643804371356964,0.04698485881090164,0.05407676473259926,0.04463057965040207,0.04767284169793129,0.030443614348769188,0.048012569546699524,0.060427356511354446,0.07008908689022064,0.03559938445687294,0.05106065794825554,0.04864361882209778,0.03665231540799141,0.04251420125365257,0.05835767090320587,0.05004198104143143
T1204,0.033275000751018524,0.038518618792295456,0.05434002727270126,0.053062718361616135,0.04590742662549019,0.05969534069299698,0.038917891681194305,0.044556424021720886,0.03634108975529671,0.04379633814096451,0.04830535501241684,0.04391589015722275,0.06525265425443649,0.07358188182115555,0.040501657873392105,0.04577787220478058,0.049555208534002304,0.03781653568148613,0.04517174884676933,0.05011444538831711,0.051595840603113174
T1059,0.034830860793590546,0.04554293304681778,0.05758167803287506,0.05418996885418892,0.038697924464941025,0.047783344984054565,0.03954051434993744,0.04449502378702164,0.036991216242313385,0.053156573325395584,0.04268103465437889,0.04339245334267616,0.05813278630375862,0.07799121737480164,0.03829026594758034,0.046626195311546326,0.049362391233444214,0.0429745614528656,0.043896328657865524,0.050102490931749344,0.05374033749103546
T1018,0.030051641166210175,0.03683242201805115,0.03803936392068863,0.07600704580545425,0.028590643778443336,0.04676307737827301,0.030531570315361023,0.0376063697040081,0.039170410484075546,0.07709122449159622,0.04025272652506828,0.03803623840212822,0.06892060488462448,0.09089472889900208,0.03301364183425903,0.043866246938705444,0.04732152447104454,0.043398987501859665,0.04422908276319504,0.05471117049455643,0.05467124283313751
T1049,0.02621326968073845,0.04130035638809204,0.03249737247824669,0.05882978439331055,0.02572677470743656,0.04467340186238289,0.036940790712833405,0.04042687639594078,0.03678113967180252,0.07566738873720169,0.032091859728097916,0.039179932326078415,0.06682830303907394,0.11083243787288666,0.0325191393494606,0.05512680485844612,0.0463455468416214,0.04558582603931427,0.046525757759809494,0.05720590800046921,0.048701219260692596
T1016,0.03397861495614052,0.04205066338181496,0.0479314960539341,0.06201450154185295,0.036538586020469666,0.055044010281562805,0.03456589952111244,0.040776342153549194,0.03762687370181084,0.06262331455945969,0.03723690286278725,0.041793931275606155,0.0806242972612381,0.07625343650579453,0.034047454595565796,0.04628476873040199,0.041605737060308456,0.04460549354553223,0.04707002267241478,0.04722059145569801,0.050107069313526154
T1046,0.03289937227964401,0.04402492567896843,0.044573038816452026,0.059028081595897675,0.02730776183307171,0.055340930819511414,0.03226499259471893,0.03827386349439621,0.03768806532025337,0.07474299520254135,0.03628621622920036,0.04059671610593796,0.09160804748535156,0.07209346443414688,0.03309851139783859,0.04678803309798241,0.04052676260471344,0.048051100224256516,0.05000562220811844,0.04587429016828537,0.04892723634839058
T1007,0.03878750652074814,0.03640558943152428,0.040608346462249756,0.06002136319875717,0.05754750221967697,0.0642673596739769,0.03700501471757889,0.04468497633934021,0.04292183741927147,0.04373776912689209,0.0525633841753006,0.04795771464705467,0.08233299851417542,0.06219516694545746,0.040056969970464706,0.04121920093894005,0.04047268256545067,0.03920751065015793,0.040719203650951385,0.04356050491333008,0.043727386742830276
T1587,0.02778768539428711,0.047272343188524246,0.04541477933526039,0.04875114932656288,0.01839420385658741,0.038792259991168976,0.04009617865085602,0.03637039661407471,0.035379692912101746,0.0858214944601059,0.0321432389318943,0.03679690510034561,0.052093710750341415,0.10187569260597229,0.03646686673164368,0.0584658645093441,0.05018891766667366,0.05236111581325531,0.04842400923371315,0.05602708086371422,0.05107644945383072
T1584,0.040523286908864975,0.05562473088502884,0.07345975190401077,0.04717419669032097,0.0383237823843956,0.04414992406964302,0.04151027649641037,0.03963039815425873,0.03407326713204384,0.06747815012931824,0.03603130578994751,0.03655816242098808,0.05507426708936691,0.060496628284454346,0.03587706759572029,0.04293305054306984,0.0476112999022007,0.04864150285720825,0.0499308705329895,0.044832419604063034,0.06006563454866409
T1588,0.035466551780700684,0.05413738638162613,0.06427988409996033,0.039272211492061615,0.03352756053209305,0.04457267001271248,0.0522150993347168,0.04266158863902092,0.036358315497636795,0.06216210126876831,0.028960220515727997,0.04344458505511284,0.05250217765569687,0.07476531714200974,0.038022320717573166,0.058294761925935745,0.04479920491576195,0.04834544658660889,0.04992254823446274,0.047203581780195236,0.04908648505806923
